player_id,player_name,player_display_name,team_id,team_name,league_name,season_id,season_name,position_code,position_name,stat_minutes_played_total,accurate_passes_%,aerials_won,blocked_shots,cleansheets,goals,key_passes,passes,player_age,shots,successful_dribbles,tackles
37615311,Arthur Augusto de Matos Soares,Arthur,3321,Bayer 04 Leverkusen,Bundesliga,25646,2025/2026,midfielder,Midfielder,1051.0,83.7,1.1988582302568982,0.0856327307326356,6.0,0.0856327307326356,0.9419600380589914,35.195052331113224,22.43394934976044,0.8563273073263559,1.2844909609895339,1.5413891531874404
37778886,Axel Tape-Kobrissa,Axel Tape,3321,Bayer 04 Leverkusen,Bundesliga,25646,2025/2026,defender,Defender,220.0,96.05,0.40909090909090906,,,,,31.09090909090909,18.034223134839152,1.2272727272727273,2.8636363636363633,0.40909090909090906
34880,Robert Andrich,Robert Andrich,3321,Bayer 04 Leverkusen,Bundesliga,25646,2025/2026,defender,Defender,2036.0,90.33,1.6355599214145382,0.618860510805501,7.0,0.04420432220039292,0.4862475442043222,67.67681728880157,30.915811088295687,0.22102161100196463,0.04420432220039292,1.5913555992141453
37537954,Tim Oermann,Tim Oermann,3321,Bayer 04 Leverkusen,Bundesliga,25646,2025/2026,defender,Defender,16.0,57.14,,,,,5.625,39.375,21.87816563997262,,,5.625
37645233,Ibrahim Maza,Ibrahim Maza,3321,Bayer 04 Leverkusen,Bundesliga,25646,2025/2026,midfielder,Midfielder,1256.0,86.38,0.35828025477707004,0.07165605095541401,7.0,0.14331210191082802,1.2181528662420382,46.289808917197455,19.742642026009584,2.5079617834394905,2.2213375796178347,1.9347133757961783
37706060,Montrell Amare Culbreath,Montrell Culbreath,3321,Bayer 04 Leverkusen,Bundesliga,25646,2025/2026,defender,Defender,275.0,84.81,0.6545454545454545,,1.0,0.32727272727272727,0.9818181818181819,25.854545454545455,17.982203969883642,0.9818181818181819,0.6545454545454545,4.581818181818182
4574,Aleix García Serrano,Aleix García,3321,Bayer 04 Leverkusen,Bundesliga,25646,2025/2026,midfielder,Midfielder,2191.0,92.89,0.36969420356001825,0.2053856686444546,7.0,0.08215426745778183,1.5198539479689641,104.50022820629849,28.150581793292265,1.0269283432222729,0.2053856686444546,0.8215426745778184
37342993,Ignacio Ezequiél Agustín Fernández Carballo,Ezequiel Fernández,3321,Bayer 04 Leverkusen,Bundesliga,25646,2025/2026,midfielder,Midfielder,926.0,89.12,0.9719222462203023,0.19438444924406048,4.0,,0.6803455723542117,75.03239740820734,23.077344284736483,0.9719222462203023,0.8747300215982722,2.9157667386609076
1494225,Nathan Tella,Nathan Tella,3321,Bayer 04 Leverkusen,Bundesliga,25646,2025/2026,attacker,Attacker,493.0,82.79,0.9127789046653144,,1.0,,2.0081135902636915,22.27180527383367,26.132785763175907,1.8255578093306288,1.2778904665314401,1.460446247464503
37912237,Christian Michel Kofane,Christian Kofane,3321,Bayer 04 Leverkusen,Bundesliga,25646,2025/2026,attacker,Attacker,994.0,82.35,2.263581488933602,0.09054325955734407,5.0,0.45271629778672035,1.267605633802817,15.392354124748492,19.07460643394935,3.2595573440643864,0.5432595573440644,1.1770623742454729
